eenheid,label,csor_symbool,matchType,qudt_uri,qudt_symbool,http_status,edit_distance_raw,edit_distance_genormaliseerd,categorie,redirect_statuses,final_url,permanent_redirect,payload_subject_matches
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_324,gram koolstofdisulfide per liter,gCS2/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_146,milligram chloor per dag,mgCl/d,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-DAY,mg/d,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_115,kilogram zuurstof,kgO2,broadMatch,http://qudt.org/vocab/unit/KiloGM,kg,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_98,microgram per kilogram nat gewicht,µg/kg ng,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-KiloGM,μg/kg,200,4,3,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_61,centimeter,cm,exactMatch,http://qudt.org/vocab/unit/CentiM,cm,200,0,0,exact,302,https://qudt.org/vocab/unit/CentiM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_119,gram koolstof,gC,broadMatch,http://qudt.org/vocab/unit/GM,g,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_294,gram droge stof,g ds,broadMatch,http://qudt.org/vocab/unit/GM,g,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/GM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_321,kilogram chloor per liter,kgCl/L,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-L,kg/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_341,gram tin per liter,gSn/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_243,nanogram fosfor per liter,ngP/L,broadMatch,http://qudt.org/vocab/unit/NanoGM-PER-L,ng/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/NanoGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_83,aantal,#,exactMatch,http://qudt.org/vocab/unit/NUM,#,200,0,0,exact,302,https://qudt.org/vocab/unit/NUM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_335,gram zuurstof per liter,gO2/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_99,gram per gram nat gewicht,g/g ng,broadMatch,http://qudt.org/vocab/unit/GM-PER-GM,g/g,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-GM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_116,gram zuurstof per dag,gO2/d,broadMatch,http://qudt.org/vocab/unit/GM-PER-DAY,g/d,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_304,microgram stikstof per kilogram droge stof,µgN/kg ds,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-KiloGM,μg/kg,200,5,4,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_40,nanogram,ng,exactMatch,http://qudt.org/vocab/unit/NanoGM,ng,200,0,0,exact,302,https://qudt.org/vocab/unit/NanoGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_183,kilogram fluor,kgF,broadMatch,http://qudt.org/vocab/unit/KiloGM,kg,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_340,milligram tin per liter,mgSn/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_295,gram NatriumChloride per liter,gNaCl/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,4,4,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_14,milligram per dag,mg/d,exactMatch,http://qudt.org/vocab/unit/MilliGM-PER-DAY,mg/d,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliGM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_322,microgram koolstofdisulfide per liter,µgCS2/L,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-L,μg/L,200,4,3,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_64,millibecquerel per liter,mBq/L,exactMatch,http://qudt.org/vocab/unit/MilliBQ-PER-L,mBq/L,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliBQ-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_100,milligram koolstof per liter,mgC/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_34,milliliter,mL,exactMatch,http://qudt.org/vocab/unit/MilliL,mL,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliL,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_39,microgram,µg,exactMatch,http://qudt.org/vocab/unit/MicroGM,μg,200,1,0,notatie_only,302,https://qudt.org/vocab/unit/MicroGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_357,nanogram zuurstof per liter,ngO2/L,broadMatch,http://qudt.org/vocab/unit/NanoGM-PER-L,ng/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/NanoGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_238,nanogram per filter,ng/filter,broadMatch,http://qudt.org/vocab/unit/NanoGM,ng,200,7,7,afwijkend,302,https://qudt.org/vocab/unit/NanoGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_362,kolonievormende eenheden per liter,kve/L,broadMatch,http://qudt.org/vocab/unit/NUM-PER-L,#/L,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/NUM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_296,milligram FosforPentoxide per liter,mgP2O5/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,4,4,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_150,milligram chloor,mgCl,broadMatch,http://qudt.org/vocab/unit/MilliGM,mg,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/MilliGM,False,True
