eenheid,label,symbool
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_285,kubieke millimeter per liter,mm³/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_293,microgram per gram,µg/g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_192,petajoule per jaar,PJ/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_259,ton per hectare,t/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_350,nanogram asbest per normaal kubieke meter,ng asbest/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_273,milligram equivalenten per liter,mg eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_230,kelvin,K
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_346,milligram toxiciteit equivalenten per normaal kubieke meter,mgTEQ/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_16,microgram per dag,µg/d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_367,gram TEQ per kilogram,gTEQ/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_352,milligram asbest per normaal kubieke meter,mg asbest/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_196,equivalenten per hectare,eq/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_161,pg WHO-TEQ 2005 per g nat gewicht,pg WHO-TEQ2005/g ng
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_300,gram waterstof dioxide per 100 gr droge stof,gH2O/100g ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_247,uren per jaar,u/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_265,nanogram per uur,ng/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_95,vierkante meter,m²
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_81,microgram equivalenten per kg,µg eq/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_176,microgram toxiciteit equivalenten per uur,µgTEQ/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_143,ton fosfor per jaar,tP/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_88,microgram equivalenten per uur,µg eq/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_347,milligram toxiciteit equivalenten per liter,mgTEQ/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_286,centimol per kilogram,cmol/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_203,arbitraire eenheid per kubieke meter lucht,AU/m3
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_89,gigajoule,GJ
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_360,kolonievormende eenheden per gram,kve/g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_309,gram toxiciteit equivalenten per kilogram droge stof,gTEQ/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_358,kolonievormende eenheden per 100 milliliter,kve/100mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_25,milligram per uur,mg/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_237,kilogram fosfor per hectare per jaar,kgP/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_249,per gram,/g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_262,gram per vierkante meter,g/m²
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_257,per 50 milliliter,/50mL
